"","nHMM.1","nHMM.2","nHMM.3","nHMM.4"
"in.ctx",0.195304090622813,-0.13278508069925,-0.0820678286254406,0.156802129000425
"in.V1",-0.519222684724306,0.48824233263436,0.166402942654576,-1.09408749661706
"in.V2",-0.96368756992018,0.669487196381873,0.0354007631796158,-0.969454292381026
"in.V3",-0.910602659647807,0.630987828817155,-0.141840388746612,-0.860801813291244
"in.V4",-0.784045081711577,0.476691089146514,-0.448342332748401,-1.03785689322956
"in.V5",0.568141673670133,0.0379459103425061,0.0487039116960383,1.43411921332145
"in.V6",0.266251611972325,-0.266459285583668,0.774252548013075,1.46494955910331
"in.V7",0.439173696165967,0.533947895031558,0.462605773262215,1.80218152313319
"in.V8",1.07261149698267,0.387711089616639,0.61893580780399,1.39436727428229
