"","nHMM.1","nHMM.2","nHMM.3","nHMM.4"
"in.ctx","0.234108607517555","0.0827569221146405","-0.0676234259735793","0.379051886498928"
"in.V1","-0.0849570302025099","0.00557588799442673","-1.27814408408087","-0.764184128626263"
"in.V2","-0.757530148996142","-0.385376594186915","-1.26988721714856","-0.736449650928597"
"in.V3","-0.261697151936864","-0.134238449558934","-1.39390446345803","-0.329275737459532"
"in.V4","-0.836087229156912","-0.517736533230815","-1.50679471553272","-0.921998156222446"
"in.V5","-0.236801220004503","0.927560328441453","1.88519541376483","0.00482842643955472"
"in.V6","-0.70159627781259","0.688195915679189","2.4849590661364","-0.0316563491667634"
"in.V7","-0.348822997393016","0.948155819096806","2.09432328639245","0.106557713451722"
"in.V8","-0.676133752310647","0.0559761331472455","2.09998400597837","-0.424136854680135"
"","","","",""
"out.1","16.6883456275317","15.0284328377806","-12.2730696082906","11.8516275196251"
"out.2","-2.24513626105096","0.891648913727382","12.8173373820971","-0.931280829300369"
