"","nHMM.1","nHMM.2","nHMM.3","nHMM.4"
"in.ctx","0.151610285276547","0.229982978664339","0.0517803898546845","0.0689159675966948"
"in.V1","-0.760517695878845","0.776592441760917","2.05895714158836","-0.470291123345764"
"in.V2","-0.179023722613465","0.860770111860121","1.82691732055634","-0.493024858267696"
"in.V3","-0.711194496066328","0.5327205625916","2.03734224434248","-0.544471503626999"
"in.V4","-0.447150936694377","1.09329282522449","1.75160280381609","-0.175594810931276"
"in.V5","0.205389893810517","1.04304701349267","-0.588611825277225","1.79040365732473"
"in.V6","-0.415367815283319","1.61258163011768","-0.704763618253792","1.15004343555948"
"in.V7","0.46121094407245","0.579826832196104","-0.691455983141299","1.91479499624416"
"in.V8","0.472371707209179","1.73653371609643","-1.05943514050289","0.471588299038092"
"","","","",""
"out.1","-1.02342813238678","-1.23010028634079","16.6476650897828","-6.71725652035814"
"out.2","4.3271865991196","8.07101999438463","-11.1122131720164","11.7584165834239"
