"","nHMM.1","nHMM.2","nHMM.3","nHMM.4"
"in.ctx",-0.217405369970948,0.105589946731925,0.465978858759627,-0.391553635243326
"in.V1",-0.143431611803799,-0.505572664890549,0.197973679893352,0.531341180622984
"in.V2",0.124765245267381,-0.473838909151314,-0.1275755029665,0.633152162257065
"in.V3",0.419796592726461,-0.821333037611558,0.160240207859122,-0.29987816921924
"in.V4",0.41662884139055,-0.694189830621314,-0.00157257651324371,0.0788281569831623
"in.V5",0.515039412789796,0.681416763932827,0.527175196716631,-0.249636354499096
"in.V6",0.790038448012909,0.589056926947245,0.207546169583363,-0.457924348145792
"in.V7",0.331861967352898,0.931103295713024,0.301661944702753,0.287139364690314
"in.V8",0.997925206995168,0.513398878727766,-0.264676885324641,-0.409852078283169
