"","nHMM.1","nHMM.2","nHMM.3","nHMM.4"
"in.ctx","0.298560248687863","0.336098776897416","-0.108889926224947","-0.121604826068506"
"in.V1","-0.610256066122528","0.0767198918100674","-0.638721210471379","-1.22748487545024"
"in.V2","-0.647783475173073","0.828625160904068","-0.62421523024827","-1.17615417426724"
"in.V3","-0.510400794262635","0.197268807978354","-0.745654834632269","-1.12905212251083"
"in.V4","-0.309491781297071","0.136162068641507","-0.447663238163369","-1.0676296136211"
"in.V5","-1.26257318267289","-1.23199762462289","-1.08191399274492","0.880518085116256"
"in.V6","-1.77916545845632","-1.49286039366061","-1.49890878628028","-0.331777659562335"
"in.V7","-1.61477836790363","-1.30806718521706","-1.25212601594369","0.283321883232357"
"in.V8","-1.44402541723643","-1.03673995901065","-1.03591668977178","0.842434137087815"
"","","","",""
"out.1","10.7658293006532","17.5475705204464","10.123382255764","-1.65288903727501"
"out.2","0.992259418120961","-0.335004225769662","3.4086085923316","21.3765221415704"
