"","nHMM.1","nHMM.2","nHMM.3","nHMM.4"
"in.ctx","-0.309635777957737","0.174779161112383","0.0852322683203965","-0.045302894897759"
"in.V1","0.799797461366324","-0.559001386473455","-0.84471557550636","0.666307377617554"
"in.V2","0.630655265357655","-0.510816764313556","-0.668937516917771","0.665542780092108"
"in.V3","0.600457876656964","-0.456351347028529","-0.239797641757159","0.878807170264216"
"in.V4","0.726692862389201","-0.753729775788036","-0.349764635494374","0.769210376078911"
"in.V5","0.20521662046646","0.883647013916933","-0.211434923045991","-0.298937839936411"
"in.V6","0.294478869119694","-0.0634618669848386","0.844601788689713","-0.290007478425702"
"in.V7","0.408502836687786","0.584867672015992","-0.38815771126243","-0.496713176383194"
"in.V8","0.659598569370896","-0.0827217377667127","-0.167798516478296","-0.709680280175095"
"","","","",""
"out.1","8.23892066587964","18.6161730059351","15.4915160835508","-18.9733878805527"
"out.2","3.96470069545303","-8.79760000976096","-7.95455691820618","25.0473931422739"
