"","nHMM.1","nHMM.2","nHMM.3","nHMM.4"
"in.ctx",0.284550051437691,0.48462648736313,0.37786453962326,-0.436602697707713
"in.V1",0.688123734581176,-0.0581188613080493,-0.144357573733097,0.256674685539026
"in.V2",0.774024817059592,-0.521247248059583,-0.13708106299016,0.332487257933653
"in.V3",-0.2129672968137,-0.361506466711988,-0.143041738658015,1.11242834584611
"in.V4",0.758456979203796,0.283937705543975,-0.0147363156663637,0.261912849733629
"in.V5",-0.537542282107746,-0.105105880268578,1.01323115299814,0.562537620041487
"in.V6",-0.495132313715751,-0.393817757817603,1.05805709975113,0.682838444955664
"in.V7",0.112323141325317,-0.841170572881148,0.993625139280806,0.219107716645198
"in.V8",0.197123520880617,-0.27376782960101,1.06779859484678,0.111800205494938
