"","nHMM.1","nHMM.2","nHMM.3","nHMM.4"
"in.ctx","-0.0522730920929462","-0.29664325225167","0.170015026582405","0.328082934953272"
"in.V1","-0.649313028688769","0.908534133194719","-0.268409678032561","-0.314126910367216"
"in.V2","-0.858727770257573","0.545673555460025","-0.814306549332974","-0.494808623480072"
"in.V3","-0.611249267971021","0.710117786815664","-0.5904107286415","-0.353479642589934"
"in.V4","-0.534354730994257","0.738104223355283","-0.557815874517269","-0.25084442594207"
"in.V5","0.407965868834154","-0.0523569103143452","0.892606630596072","-0.0948586954529838"
"in.V6","0.604383344811116","-0.249423721686785","0.574970206874651","-0.219146683814493"
"in.V7","1.11770940549493","-0.315057871496152","0.271464480995123","-0.0526395665661281"
"in.V8","-0.181478168975871","-0.478694806106521","0.604910668836887","-0.121092135040088"
"","","","",""
"out.1","12.5926282838065","-14.3477398760228","22.6448292406845","4.02190159006496"
"out.2","-5.23977203760735","28.8553906160551","-14.3315489060445","5.7818264903858"
