"","nHMM.1","nHMM.2","nHMM.3","nHMM.4"
"in.ctx","-0.445119764888659","0.478256897069514","0.499804750317708","0.229813941055909"
"in.V1","-0.56491251846914","-0.711110267009282","-0.923675708555098","0.0701727464664387"
"in.V2","-0.392193227706562","-1.05826142008476","-1.2074758059914","-0.230689470776692"
"in.V3","-0.506718923029118","-0.221236765812844","-0.65493433519445","0.757039637126851"
"in.V4","-0.446823807140993","-0.794244101714796","-1.17087050259385","0.0103118655301925"
"in.V5","0.787196768653625","0.0599888325933228","-0.42231762841549","-0.69930544574787"
"in.V6","1.11916589814733","0.549432317897897","0.452233437895656","-0.0539284223526244"
"in.V7","-0.0234036268819304","0.456648072422065","-1.27578879631996","-1.09084357006469"
"in.V8","0.19303393691317","0.755742819906296","0.26185783586783","-0.455922990847245"
"","","","",""
"out.1","12.6754305479966","15.384562841669","5.25083721194876","-9.88490102383824"
"out.2","-2.50055931218998","-8.04540207164924","2.73968822592281","31.2275689220374"
