"","nHV.1","nHV.2","nHMM.3","nHMM.4","nHMM.5","nHMM.6","nHA.7","nHA.8"
"in.ctx","0.646146813143881","0.0530950453155378","0.535775656486421","-1.64745945734057","-0.0574438944700922","-0.455479819166321","-0.189287557754333","1.35435392253761"
"in.A","-0.33676301744044","0.919114910586416","-0.228097502606925","2.30621253408896","-0.400026162333695","1.43287101826375","0","0"
"in.B","0","0","0.622428959220348","2.41548498924291","0.524053747503182","1.55032229685502","1.47910691821245","-0.174540460069984"
"","","","","","","","",""
"out.1","-3.62016079596243","0.887722801622117","-5.49872667589577","9.66916947806226","-2.760507967128","4.26226731369488","1.64968444645855","-10.0870291590662"
"out.2","-4.68672663090009","-0.312044772977433","-4.80461893852345","9.66911348769144","-2.83880141263155","4.36849612027955","2.31746070014308","-9.9495629962012"
