"","nHMM.1","nHMM.2","nHMM.3","nHMM.4"
"in.ctx","0.129711539950222","0.240199261112139","-0.139226216124371","-0.36717630084604"
"in.V1","0.261566816142196","-0.725019498121226","-0.51458219867933","-0.293674380665497"
"in.V2","-1.25322636098555","-1.50529269250455","-0.628658419552168","-0.857393602354604"
"in.V3","-0.975621965180622","-1.31117138693696","-0.693644762400663","-0.417983757926601"
"in.V4","-0.842133153154617","-1.27586235261254","-0.670502992233778","-0.517233089624237"
"in.V5","-1.35676270893198","-0.866030270235314","0.667518974278252","0.966874827604963"
"in.V6","-0.876852802119314","-0.58895906007683","0.273434766281633","1.3010789716835"
"in.V7","-1.47663024640206","-1.14080449929009","1.13669958421152","0.0656542041720777"
"in.V8","-1.37451033021385","-1.21039247757438","0.806701712825242","0.783379769273613"
"","","","",""
"out.1","-6.63950748134473","2.03730217609961","12.0613812630424","10.7258214770349"
"out.2","20.3157434927848","0.994241756081305","-1.56697614260815","2.68524918869924"
