"","nHMM.1","nHMM.2","nHMM.3","nHMM.4"
"in.ctx",0.179516460746527,0.45492655178532,-0.347689519170672,-0.205480493837968
"in.V1",-0.548320961002611,0.0732307065116885,1.41772471846569,-0.0972363686972938
"in.V2",-0.538623190325325,-0.00719563041403126,1.5283899973831,0.116127173586809
"in.V3",0.167709532342573,-0.443792025291955,1.23860248901321,0.455874699287187
"in.V4",0.323899909759937,0.377700113011956,1.2868169228791,0.218526364123052
"in.V5",-0.340577242948801,0.215490644361508,-0.677045100931064,0.913260683011567
"in.V6",-0.000482146865159671,0.12982366555733,-0.742294256643024,0.847452429721377
"in.V7",-0.114676927399316,0.307819897439462,-0.820544042770072,0.729316211248582
"in.V8",-0.518882035522804,0.199922266696936,-0.821200651817982,0.842045524436249
