"","nHMM.1","nHMM.2","nHMM.3","nHMM.4"
"in.ctx","0.429798721335828","0.0776612733025104","-0.461708049289882","0.0093939162325114"
"in.V1","-0.383516065994385","0.896702230078281","-0.56064337361105","0.77633226741661"
"in.V2","-0.800683264529426","0.610475998726205","-0.925280103008405","0.239051247442673"
"in.V3","0.705588723028928","1.18921138971753","0.392112680455176","0.801654526874268"
"in.V4","-0.17745664373373","0.989605890920912","-0.465179542947258","0.872933132125883"
"in.V5","-1.06254969784449","-0.992044007595137","-0.490317959070868","-0.627328142279838"
"in.V6","-1.05717742497589","-0.968490581103499","-0.668817298495869","-0.304760129044154"
"in.V7","-1.30312593053447","-0.979968384841754","-0.914140790815939","-0.220373458314771"
"in.V8","-0.621299007398753","-0.906676664691411","-0.161002712351873","-0.469296786758736"
"","","","",""
"out.1","3.91190570730304","-17.6872159910218","17.8971140923417","15.5116779279323"
"out.2","1.54774217537263","15.6797692474427","-2.59797847790285","6.82621120108032"
