"","nHMM.1","nHMM.2","nHMM.3","nHMM.4"
"in.ctx","-0.445119764888659","0.478256897069514","0.499804750317708","0.229813941055909"
"in.V1","0.512525808934198","0.934699782980097","0.441074910633596","-0.525210760794428"
"in.V2","1.35615446927721","0.226792788550061","0.123154047847769","-0.740485559766199"
"in.V3","0.182277268953132","1.41608543849227","-0.0343581715263747","-0.101472974503764"
"in.V4","1.12602865696049","1.09921352896057","0.0104211774966815","-0.623814062980067"
"in.V5","-0.535002998427745","-1.08138002710484","-1.05577827488032","0.166529038307049"
"in.V6","-0.369609468323034","-0.878501837844332","-0.986538516321944","0.922313118088694"
"in.V7","-0.899997628711837","-0.973521144321955","-1.51008746196958","-0.393185829076038"
"in.V8","-0.778565626000502","-0.860698844765348","-0.836405563190774","0.570471924872645"
"","","","",""
"out.1","10.0848791880918","12.6398975667101","4.58345215741427","-6.67603935723444"
"out.2","-1.17153313659671","-6.85743078382012","3.41549748438818","24.5155173056234"
