"","nHMM.1","nHMM.2","nHMM.3","nHMM.4"
"in.ctx","-0.270644327159971","0.148276603082195","-0.0369646782055497","-0.032032843446359"
"in.V1","0.110949000799216","0.145638476334933","0.637049218155638","1.23888560042402"
"in.V2","-0.054349443479578","0.0522514993489572","0.526561932716161","1.07659666768729"
"in.V3","0.116237458895247","0.1839248388568","0.600266437011433","1.226775601599"
"in.V4","-0.106939806869624","0.0785794962819876","0.614978847422835","1.09463724799754"
"in.V5","-0.235828415819144","-0.387660736583944","0.674623346920132","-0.943100081213702"
"in.V6","0.63406325468307","-0.297084561427259","-0.0306143586217781","-0.545886893660984"
"in.V7","-0.258145830628461","-0.740697148622638","0.624083784755543","-0.873996870660018"
"in.V8","0.375230414405023","-0.54972861892966","0.288523563045045","-0.570736772523169"
"","","","",""
"out.1","25.7537071235485","-5.16845641601071","18.6640397679011","-22.3411094569011"
"out.2","-11.6749783850666","9.81496406235043","-5.15569961724461","24.0360688918916"
