"","nHMM.1","nHMM.2","nHMM.3","nHMM.4"
"in.ctx","0.313672443851829","0.343490518862382","0.483311671996489","0.0115854712203145"
"in.V1","0.867931581302957","-0.101465255077212","0.0574519566265762","-0.651973554634727"
"in.V2","0.486529848427436","-0.921460119326329","-0.248097248152983","-0.880721511522085"
"in.V3","0.304181733606061","-1.06275793405507","-0.965094271252952","-0.737230504039384"
"in.V4","0.496033868080537","-0.834393568030566","-0.330979695452197","-0.797001816874431"
"in.V5","-0.308658619459884","0.0130198802460238","0.721377129781402","0.170411912744795"
"in.V6","-0.540790619800928","-0.589621394286878","0.180775536406689","0.460674774705259"
"in.V7","-0.0699898378097499","-0.304183996123421","0.8556850538552","0.753792951493034"
"in.V8","-0.506866632768839","-0.832826534899422","0.350292819168249","0.458376250679099"
"","","","",""
"out.1","-16.8105422008346","9.30753602798682","15.7289521397135","19.2531675230507"
"out.2","36.3092315296196","-5.07941289394318","-6.68604242243771","-10.2769954839767"
