"","nHMM.1","nHMM.2","nHMM.3","nHMM.4"
"in.ctx",0.2527418541722,-0.489604210481048,-0.0468348662834615,-0.0301566543057561
"in.V1",-0.245875560674548,0.842609912175237,-0.34690961545099,0.488013487589567
"in.V2",-0.228540348663273,0.907856695033391,-0.432940542090748,0.471705684066574
"in.V3",-0.204294347506299,0.741610098267193,-0.171530498948127,0.602536017891203
"in.V4",-0.218453407649311,-0.068196140519179,0.543886125789542,0.775791564569935
"in.V5",1.00997381057909,0.245471412454849,-0.73538461537034,-0.130717306473351
"in.V6",1.09785756346065,0.0686710881377542,-0.347382836549483,0.124464152149338
"in.V7",0.948590760856118,-0.317004540577765,-0.389194920924079,0.0932673597217045
"in.V8",0.934541602883698,-0.144679471864721,-0.426145479825707,-0.132142382105338
