"","nHMM.1","nHMM.2","nHMM.3","nHMM.4"
"in.ctx","0.251732068601996","-0.130006922176108","-0.177397238323465","0.0364275323227048"
"in.V1","-0.375811382086568","-0.254567235632711","0.791094361014374","0.152745778318708"
"in.V2","-0.183329429545735","-0.289624013012611","0.717065373976558","-0.230962833390085"
"in.V3","-0.549602562841336","-0.257161991109847","0.679864063153749","-0.489066635570036"
"in.V4","-0.627152223465409","-0.0632459450994124","0.91420092503458","-0.196845521259945"
"in.V5","0.282977731351364","0.629904698434331","-0.226454341383557","0.57594447524388"
"in.V6","-0.502125132535631","0.91223185456668","-0.13574622564533","-0.544404421343359"
"in.V7","-0.0762378647345522","0.822658133272959","-0.217934331333052","-0.54076633200435"
"in.V8","-0.443758697113754","0.823811958671956","-0.245215144256668","-0.446336281850391"
"","","","",""
"out.1","5.66154848359669","23.5722475760701","-14.5918339803372","4.80837668071293"
"out.2","1.64495530662181","-14.4402215283154","28.9826110882805","1.70043759496431"
