"","nHMM.1","nHMM.2","nHMM.3","nHMM.4"
"in.ctx","-0.0736935893073678","0.226230531232432","0.373585661174729","0.276931141968817"
"in.V1","0.741425774460038","-1.37067010993764","-0.820145241888229","-0.580041513669873"
"in.V2","1.04324850765389","-1.1069459243911","-0.645696742321387","-0.301217414187279"
"in.V3","0.741914867502542","-1.47163615431117","-0.568404204749727","-0.649848130169274"
"in.V4","1.45016079713112","-0.950722131693724","-0.399851725227534","-0.662835503907877"
"in.V5","-0.454479956575331","2.2129868205085","-0.155364978411246","-0.204390706792967"
"in.V6","-0.452736198681635","1.86821384102114","-0.385562304360298","0.781748140430335"
"in.V7","0.138589707850727","1.78129536518214","-0.275397515982443","-0.12787582671841"
"in.V8","-0.0321125367404667","2.10501363986442","0.207320197063207","0.832675981817616"
"","","","",""
"out.1","21.4674439144935","-10.2793361767392","5.36425167494044","3.62650619361042"
"out.2","-6.69330593452627","14.5360186717203","0.6960955387958","3.37279369764228"
