"","nHMM.1","nHMM.2","nHMM.3","nHMM.4"
"in.ctx","0.00926321838051081","-0.411856109043583","-0.0171131859533489","-0.46856709709391"
"in.V1","-0.753256871233705","-0.827384130507902","1.74113308853807","1.31429063050708"
"in.V2","-0.644779537410699","-0.761746135295622","1.75083227863283","1.28150812350977"
"in.V3","0.0184631348695144","-0.682442461226794","1.57853300149104","0.76236009744738"
"in.V4","-0.63330387138446","-0.464958998947932","1.74390177201758","1.21867607075447"
"in.V5","-0.406372927310592","-0.569216679461771","-0.139679767303595","1.14656028696968"
"in.V6","-0.213385251970308","0.0560715811828179","0.0383903914446769","1.09524785128618"
"in.V7","0.291446332087946","-0.668652044394386","0.0953344362315424","1.08571915917561"
"in.V8","0.669340150373947","0.0912113352542234","0.103554611068765","0.706888209448923"
"","","","",""
"out.1","15.1347308280479","9.97145427096313","-18.5292979505258","17.2682291023277"
"out.2","-7.0073425868036","-4.03697292309954","21.2874646586572","-7.27142714330079"
