"","nHMM.1","nHMM.2","nHMM.3","nHMM.4"
"in.ctx","0.197520626010373","0.440403446787968","0.12671758281067","0.39317605108954"
"in.V1","-0.385115144197372","-1.5777845862485","-0.793220545665125","-0.847496723447252"
"in.V2","-0.786027317232532","-1.38219462831786","-0.666654253352471","-0.354381435926536"
"in.V3","-0.597981259862045","-1.43910708730734","-0.80180200663813","-0.2584298944063"
"in.V4","-0.705025605631485","-1.58774006195191","-0.55711945786811","-0.6802349663791"
"in.V5","0.280501679059517","1.43256205349066","-0.505591097633575","-0.463638469750298"
"in.V6","1.08812174938776","1.56800142945878","0.209555193337494","0.467555629773937"
"in.V7","0.00838436698532199","1.26806682659362","0.102905545039116","-0.285265577596659"
"in.V8","0.0923464844834024","1.00212903716955","0.119177812083846","-0.220329989229085"
"","","","",""
"out.1","7.97889359088418","-13.7976322688651","11.6118026421656","17.7950771711067"
"out.2","4.51673890439322","16.3706522815391","2.44890283810353","-0.777668285997083"
