"","nHMM.1","nHMM.2","nHMM.3","nHMM.4"
"in.ctx","-0.205626488430426","-0.392459973692894","0.0629475684836507","-0.281325684627518"
"in.V1","0.291253107589704","0.641722841167287","-0.952222859444443","-1.12265064144317"
"in.V2","0.0170783061265961","1.24350318078927","-0.788042628979394","-0.985602850421197"
"in.V3","0.613767824067693","1.5795463771834","-0.329307834394264","-0.515954435823847"
"in.V4","0.668767132245802","0.429707681236785","-0.769829709168069","-0.565381662142436"
"in.V5","-0.660002217552414","-0.55454266774439","0.245970038117684","0.0406350149147072"
"in.V6","-0.606572540519355","-0.248560246450255","0.444790830501372","0.0299471064459018"
"in.V7","-0.584311269243228","-0.596234141299087","0.270045950514587","0.26821171465162"
"in.V8","-0.925147589721621","-0.697381075938549","0.0275634787342102","-0.626571219579546"
"","","","",""
"out.1","-10.277264924418","-4.41198373990653","31.019461029601","13.7655711289446"
"out.2","16.4703191093878","13.5969299863241","-10.9154084456723","-2.13862880047691"
