"","nHMM.1","nHMM.2","nHMM.3","nHMM.4"
"in.ctx",0.462491431040689,-0.289417371852323,0.28889693133533,0.109398958273232
"in.V1",0.433511250238472,-0.176867711188385,-0.67559143534388,1.08207681721765
"in.V2",1.23182582622381,0.644221045530698,-0.464670871353211,-0.17213925347916
"in.V3",0.507461464941358,0.381318512109937,-0.484085340456855,0.876286358956076
"in.V4",1.173262658143,-0.0113756386587051,-0.16278347028396,0.157496644031228
"in.V5",-0.588895176846742,0.155682448522164,0.311895486720327,-0.391225934610199
"in.V6",-0.851093360794924,-0.127748411199802,0.315375055576826,0.256424366235341
"in.V7",-0.483285553937183,0.030206755602473,0.579730039169007,-0.116768670065947
"in.V8",-0.774655686796739,-0.176765754309176,1.18018334424354,0.0292951322500525
