"","nHMM.1","nHMM.2","nHMM.3","nHMM.4"
"in.ctx","0.120767270214856","-0.109044701559469","-0.481947675347328","0.232919412432238"
"in.V1","-0.72963044220577","-0.00698379630467636","-0.305944592023487","-0.00529943817404022"
"in.V2","-0.64213383858556","0.00278059792045006","-0.396043859773032","0.150216539617861"
"in.V3","-0.661970470357305","0.263178459195289","-0.0995088938063001","-0.261986263042126"
"in.V4","-0.889540285190591","0.0223579484585918","-0.195591474988759","-0.35872028599973"
"in.V5","1.47316377722533","0.757563187452342","-0.0558484175304062","0.0768832072050536"
"in.V6","1.54003440740879","0.567207305575665","-0.395053461611395","0.467604784480104"
"in.V7","1.5137893496792","0.729664527998222","-0.00451384301226011","0.146541766184099"
"in.V8","1.38422306906129","0.911899324913984","-0.217150913731805","-0.26045085687204"
"","","","",""
"out.1","20.5808341905693","-2.00087383078184","-2.20922388382734","-7.05068948453821"
"out.2","-22.0567290562391","16.2518711536741","13.769574213278","21.5456844191644"
