"","nHMM.1","nHMM.2","nHMM.3","nHMM.4"
"in.ctx","-0.0909631096292287","0.243778578005731","-0.203183826059103","0.452372044557706"
"in.V1","1.49366742269359","0.450771290147443","0.16379414293471","0.768429478556307"
"in.V2","1.30363707746438","0.715333215360423","0.605467833465509","1.53222562768597"
"in.V3","1.43111772643862","0.343862103658026","0.602476657476246","0.692488021577809"
"in.V4","0.979663924088851","-0.00480390410733715","0.993631676662301","0.904623289695907"
"in.V5","-1.28010612672379","0.103469012470184","-0.878422693909282","-1.16755612610915"
"in.V6","-1.11602794561328","-0.0110134428158819","-1.20089859650967","-1.34091965542243"
"in.V7","-1.21089297604084","-0.0588405743338326","-0.857846965794328","-1.42152271783597"
"in.V8","-1.15486466790343","-0.218713799718427","-1.21181734109912","-1.3521669008286"
"","","","",""
"out.1","11.7929080999048","-3.57743481155793","4.25587581518522","8.12083127482019"
"out.2","-10.9488822320467","25.5950467741194","5.15429310554724","-6.275230195072"
