"","nHMM.1","nHMM.2","nHMM.3","nHMM.4"
"in.ctx",0.179516460746527,0.45492655178532,-0.347689519170672,-0.205480493837968
"in.V1",-0.620784138619907,0.0330758509277041,-0.53689056923525,0.704293186128032
"in.V2",-0.576101577941187,-0.00935494557369738,-0.457854907435845,0.764869261979041
"in.V3",0.190925600083791,-0.412110098471085,-0.413605905024258,0.795108884894274
"in.V4",0.410835506965203,0.485077435656141,-0.472089388067332,0.361402860398354
"in.V5",-0.366295412106459,0.144419234159118,1.01795900350667,0.520625615100092
"in.V6",-0.0472874934744853,0.0517629455957383,0.982262158844743,0.49162834624599
"in.V7",-0.17843925533843,0.196167701512974,0.963541212938582,0.448383622934955
"in.V8",-0.566280329020539,0.0941226565934032,0.989680930988722,0.550430257761873
