"","nHMM.1","nHMM.2","nHMM.3","nHMM.4"
"in.ctx","-0.460763297742233","-0.407912362599745","0.30513000395149","-0.357607443584129"
"in.V1","-0.512169979755994","-0.635120582031276","-0.586859870088383","1.15490503736712"
"in.V2","-0.85509350392355","-0.722954369887417","-0.545764429601093","1.11438152052641"
"in.V3","-0.514520843908987","-0.508484844484307","-0.394950324876037","1.38500228080863"
"in.V4","-0.667740180651622","-0.400425170539506","-0.485296359037714","1.34703251626643"
"in.V5","0.114053914269398","1.52518420120427","-0.167331046350777","-0.440934393655334"
"in.V6","1.23745616360637","1.09535387013117","-0.415138880771335","-0.625381929599424"
"in.V7","1.1974908617046","1.31617524261449","-0.270592670554877","-0.40286488146089"
"in.V8","1.12890118570763","1.04426426233336","-0.248893921691511","-0.459414373287961"
"","","","",""
"out.1","-5.00377432140848","-8.18699250085299","4.16111217485376","22.3284070518835"
"out.2","11.3105119329365","14.6345926888586","1.6564471227571","-10.6604722111554"
