"","nHMM.1","nHMM.2","nHMM.3","nHMM.4"
"in.ctx","0.325124939670786","-0.0603025108575821","0.414303382160142","0.00344669492915273"
"in.V1","-0.421795382952484","0.562608678246498","1.39749631570859","-0.259770630692663"
"in.V2","-0.907384666521355","0.417751969276607","1.69295669310174","0.285981531458931"
"in.V3","-0.562003465770275","0.0476367617076654","2.1185802025243","0.0693519363939924"
"in.V4","-0.718311398694216","0.488550515671868","1.02718070785872","-0.201800957137052"
"in.V5","1.70898259269835","-1.18204551674422","-0.664904651862443","-0.769134673523643"
"in.V6","2.40125398036885","-0.821296965143893","-0.606863054525288","-0.500588967773036"
"in.V7","2.03275761772869","-0.85782215079008","-0.780167722400602","-0.622398955087739"
"in.V8","1.60134741093085","-1.10245150461174","-0.502320219510881","-0.423786324630293"
"","","","",""
"out.1","-7.75290366686346","8.58046204708085","15.2088819559855","4.48133260224197"
"out.2","16.3307571011828","-2.32807462398202","-7.12247764891738","1.21498937882063"
