"","nHMM.1","nHMM.2","nHMM.3","nHMM.4"
"in.ctx","0.429798721335828","0.0776612733025104","-0.461708049289882","0.0093939162325114"
"in.V1","-1.37641191454986","-1.27020961789538","-1.01507304436016","-0.275180593774274"
"in.V2","-1.3669707991579","-1.29353927416979","-1.13960012780662","-0.629863674327746"
"in.V3","-1.24807851902414","-1.29899433033178","-0.643330272049733","-0.22828478561565"
"in.V4","-1.35957023646034","-1.26843325805382","-0.997015169443154","-0.202949890601191"
"in.V5","1.17140598864017","1.45268235859037","0.658435065173793","-0.221941570515759"
"in.V6","0.754856373311935","1.45308283654578","0.116398858753498","0.301889733109382"
"in.V7","0.0315656163327591","1.63435746275026","-0.269051038567966","0.451821113847901"
"in.V8","1.51490396619912","1.01359310272985","0.756679825300345","0.0194392930829794"
"","","","",""
"out.1","-1.32306872696728","-11.898517129495","8.55960002868091","23.9105114973946"
"out.2","6.51878118975198","13.1089421817939","2.89177007215307","-2.08896954736454"
