"","nHMM.1","nHMM.2","nHMM.3","nHMM.4"
"in.ctx","0.00926321838051081","-0.411856109043583","-0.0171131859533489","-0.46856709709391"
"in.V1","0.313684207513956","0.124972899836491","-0.892058946988851","1.45610957107343"
"in.V2","0.253906514558577","0.00057008843869518","-0.66740546639779","1.41945427759805"
"in.V3","1.52597437848303","0.153718652241614","-0.549860821214968","0.380235426128347"
"in.V4","0.121441634394369","0.452377015563456","-0.527547601160166","1.30234017560189"
"in.V5","-0.837205980895077","-0.831313972338376","1.95149109254861","0.308001471660167"
"in.V6","-0.670789639923004","-0.422556160885866","2.17658673389805","0.683402461630231"
"in.V7","-0.311988175774825","-0.936927118380892","2.08662731810458","0.765521075110664"
"in.V8","-0.14753346725453","-0.427032098478043","2.43563143778362","0.43410657270862"
"","","","",""
"out.1","10.4958984018392","6.88633343870004","-10.6503717614026","13.326050552459"
"out.2","-4.01629894047298","-2.01131022021678","15.3233174765895","-4.80531018798044"
