"","nHMM.1","nHMM.2","nHMM.3","nHMM.4"
"in.ctx","0.126141677377746","-0.286080888006836","0.460781567497179","-0.292435472598299"
"in.V1","0.226864468616715","0.025950822611789","-0.25871904423354","0.390901308156673"
"in.V2","0.0767917749545193","-0.665414882723754","-0.566920426196918","-0.23633594888949"
"in.V3","-0.194431978468855","-0.450099409624263","-0.58814738825876","-0.125968750472445"
"in.V4","0.0748859111868702","-0.416080025689785","-0.539977328297719","-0.294209249560036"
"in.V5","-0.715605838070813","-0.578874810137831","1.03613129685903","0.00497560693815899"
"in.V6","-1.11532207591118","-1.41238123314846","0.645676112407282","-0.522961381374607"
"in.V7","-0.658816968584683","-0.747493584854695","0.897922898692628","-0.395765190564802"
"in.V8","-1.35826879702128","-1.14397698678365","0.621456031428144","-0.525048190250434"
"","","","",""
"out.1","-8.29713510880473","-4.71008410043589","26.9484840306728","-4.04784588220468"
"out.2","25.1630003034632","17.5910695856266","-17.6913247771362","21.114615920139"
