"","nHMM.1","nHMM.2","nHMM.3","nHMM.4"
"in.ctx","-0.0736935893073678","0.226230531232432","0.373585661174729","0.276931141968817"
"in.V1","-0.183492294214067","1.05284782239276","-0.499475523467347","0.240110709891226"
"in.V2","0.071064729514767","1.32528853157425","-0.289581225135135","0.46449905655063"
"in.V3","-0.252449242129066","1.02697589466636","-0.0937033086885272","0.211940128075708"
"in.V4","0.341898205459771","1.58302210838024","0.0317136701665335","-0.220202320649803"
"in.V5","0.279282500878636","-0.97915410831272","-0.679520778054211","-0.637711823379962"
"in.V6","0.232250154363868","-0.995456486956504","-0.802855895790192","-0.030850412733399"
"in.V7","0.680656500469529","-0.378263833509124","-0.520741175508268","-0.428979505281224"
"in.V8","0.524889085556624","-0.511787137785463","-0.174412482610311","0.145476697641541"
"","","","",""
"out.1","28.9677890790473","-17.0882255992524","6.85449721759269","5.80778277993718"
"out.2","-10.6621701574047","21.4541269712829","0.634348566707489","3.57305379936673"
