"","nHV.1","nHV.2","nHMM.3","nHMM.4","nHMM.5","nHMM.6","nHA.7","nHA.8"
"in.ctx","1.27117548837838","0.267583793329004","-0.334973014896905","-0.394475926307894","0.60980026968606","1.20601951386866","0.838130800495166","1.37110382348106"
"in.A","-1.26749183180905","1.30917520016859","0.615995433687881","0.460670479865768","-1.66067610191922","2.83981063480204","0","0"
"in.B","0","0","-0.0808420329460711","-0.570334634772281","2.13942446892241","-2.34533224833837","1.77570073897434","-0.850405029082691"
"","","","","","","","",""
"out.1","-4.65147789912416","0.0319422689256279","-0.302394655352876","1.42725283553941","-7.74148446507829","9.27973240811332","-5.83363901038575","-1.05687497963758"
"out.2","2.78880509161475","-2.49206260041782","-1.22395409583278","-0.787479250296579","8.97831384185447","-10.9092283418064","1.01541667172697","-2.80581553635975"
